iter	RMSE
130	11.63581473
131	11.63133497
132	11.62704012
133	11.62637675
134	11.62202284
135	11.61965387
136	11.61501174
137	11.61101219
138	11.60482045
139	11.60085903
140	11.5977389
141	11.59735748
142	11.59330561
143	11.59315033
144	11.58750033
145	11.58678811
146	11.58177041
147	11.57950523
148	11.57572107
149	11.57318393
150	11.568053
151	11.568003
152	11.56608148
153	11.56604208
154	11.56166798
155	11.56134625
156	11.55838012
157	11.55460334
158	11.55119669
159	11.54851925
160	11.54838253
161	11.54762585
162	11.54325631
163	11.53920151
164	11.53630943
165	11.53223802
166	11.52912591
167	11.52856569
168	11.52519896
169	11.52508028
170	11.5223442
171	11.52011634
172	11.51750374
173	11.51364923
174	11.50964435
175	11.50694426
176	11.50426838
177	11.50161529
178	11.49910045
179	11.49712604
180	11.49429959
181	11.49278059
182	11.49006514
183	11.48696513
184	11.48331447
185	11.48044341
186	11.47753266
187	11.47563319
188	11.47186247
189	11.47176931
190	11.46880702
191	11.4669565
192	11.46455454
193	11.46137507
194	11.45895972
195	11.45644546
196	11.45445697
197	11.45296375
198	11.4500778
199	11.44775677
200	11.44764902
201	11.44721608
202	11.44423868
203	11.44241158
204	11.44004676
205	11.43670401
206	11.43488453
207	11.43312471
208	11.42997849
209	11.42775631
210	11.42580784
211	11.42249921
212	11.41940915
213	11.41577641
214	11.41404183
215	11.41158086
216	11.4085027
217	11.40637898
218	11.4043941
219	11.40192277
220	11.39970625
221	11.39770477
222	11.39523931
223	11.39188617
224	11.38906933
225	11.38729504
226	11.38514057
227	11.38334734
228	11.3810973
229	11.37858653
230	11.3766554
231	11.37430119
232	11.37213831
233	11.36918315
234	11.36746937
235	11.3659514
236	11.36467203
237	11.36343762
238	11.36050334
239	11.35874713
240	11.35713377
241	11.35485677
242	11.35296722
243	11.35082423
244	11.34948937
245	11.34739315
246	11.3447248
247	11.34249757
248	11.34096746
249	11.33906769
250	11.33718776
251	11.33502799
252	11.33278773
253	11.33133261
254	11.33022998
255	11.32826264
256	11.32642309
257	11.32503021
258	11.32402663
259	11.32261903
260	11.32061886
261	11.31897132
262	11.31767918
263	11.31586988
264	11.3138615
265	11.31212656
266	11.31107471
267	11.30934409
268	11.30793654
269	11.30670951
270	11.30439214
271	11.30318939
272	11.30165906
273	11.29942537
274	11.29819046
275	11.29698513
276	11.29571813
277	11.29460558
278	11.29254337
279	11.29053567
280	11.2889594
281	11.28730464
282	11.28586703
283	11.28430674
284	11.2823624
285	11.28097789
286	11.27942476
287	11.27799208
288	11.27641777
289	11.27505954
290	11.27388639
291	11.27271537
292	11.27159958
293	11.27002218
294	11.26918633
295	11.26811007
296	11.2668883
297	11.26586305
298	11.26457627
299	11.26286092
300	11.26196307
301	11.26127352
302	11.25996363
303	11.25922113
304	11.2580135
305	11.2565635
306	11.25523045
307	11.25382061
308	11.25241734
309	11.25124522
310	11.25010453
311	11.24915179
312	11.24835172
313	11.24724218
314	11.24630677
315	11.24530897
316	11.24397347
317	11.24326541
318	11.24200915
319	11.24120845
320	11.24017864
321	11.23904675
322	11.23822554
323	11.23706391
324	11.23622108
325	11.23536869
326	11.23393504
327	11.23273679
328	11.23157379
329	11.23063786
330	11.22916438
331	11.22770164
332	11.22674838
333	11.22587851
334	11.22479448
335	11.2239705
336	11.22301409
337	11.22221041
338	11.22108965
339	11.21970857
340	11.21861193
341	11.21787249
342	11.21684025
343	11.21574669
344	11.21508588
345	11.21412101
346	11.21280187
347	11.21181931
348	11.21116224
349	11.20998829
350	11.20918939
351	11.20827403
352	11.20732556
353	11.20658447
354	11.20566729
355	11.20486925
356	11.20359844
357	11.20290587
358	11.20169429
359	11.20076523
360	11.19971559
361	11.19890096
362	11.19765349
363	11.19685827
364	11.19634408
365	11.19542443
366	11.19445963
367	11.19327637
368	11.19233524
369	11.19178453
370	11.19120745
371	11.1902828
372	11.18965616
373	11.18917838
374	11.18867759
375	11.18801346
376	11.1871364
377	11.18657266
378	11.18596321
379	11.18521148
380	11.18475966
381	11.18424924
382	11.18369641
383	11.18309557
384	11.18225136
385	11.18172489
386	11.18068413
387	11.18015824
388	11.17921215
389	11.17864672
390	11.17798235
391	11.17686193
392	11.17603112
393	11.17522128
394	11.17474972
395	11.17376076
396	11.17298254
397	11.17233065
398	11.17139039
399	11.17096561
400	11.17055632
401	11.16984054
402	11.16936838
403	11.16877137
404	11.16787716
405	11.16676602
406	11.16614174
407	11.16566631
408	11.16523557
409	11.16429962
410	11.16364709
411	11.16308163
412	11.16223418
413	11.16177031
414	11.16109575
415	11.16021466
416	11.15965175
417	11.1587273
418	11.15817073
419	11.1573608
420	11.15643246
421	11.15580859
422	11.15503056
423	11.15461471
424	11.15411512
425	11.15304211
426	11.15250118
427	11.1521448
428	11.15157079
429	11.15045176
430	11.14983886
431	11.14925292
432	11.14867491
433	11.1477799
434	11.14694632
435	11.14608974
436	11.14509447
437	11.14427791
438	11.14360755
439	11.14331915
440	11.14249533
441	11.14183319
442	11.14145458
443	11.14094126
444	11.14056191
445	11.13965346
446	11.13894985
447	11.13839059
448	11.13778448
449	11.13702489
450	11.13631898
451	11.13604493
452	11.13551508
453	11.13482444
454	11.13442521
455	11.13341939
456	11.13307648
457	11.13243789
458	11.1320316
459	11.13125902
460	11.13062736
461	11.13023206
462	11.12958609
463	11.12901032
464	11.12856367
465	11.12778799
466	11.12730808
467	11.12659834
468	11.1258896
469	11.12540939
470	11.12483265
471	11.12440427
472	11.12401902
473	11.12351899
474	11.12324388
475	11.12273061
476	11.12196886
477	11.12136592
478	11.12110557
479	11.1203338
480	11.11997946
481	11.11945389
482	11.11897666
483	11.11849602
484	11.11784701
485	11.11722228
486	11.1167469
487	11.11653409
488	11.11616146
489	11.11548432
490	11.11505964
491	11.11475843
492	11.11433167
493	11.11372759
494	11.11315923
495	11.11256573
496	11.11214298
497	11.11155741
498	11.11119413
499	11.11085091
500	11.11044204
501	11.11004428
502	11.10949381
503	11.10921144
504	11.1086243
505	11.10839541
506	11.1080923
507	11.10774327
508	11.10743556
509	11.10686287
510	11.10636792
511	11.1059974
512	11.10570508
513	11.10544799
514	11.104986
515	11.10439054
516	11.10400798
517	11.10355765
518	11.10334956
519	11.10289784
520	11.10220453
521	11.10185748
522	11.10152375
523	11.10126579
524	11.10103142
525	11.10059104
526	11.09997891
527	11.09973346
528	11.09946423
529	11.099142
530	11.09855041
531	11.09812108
532	11.0976733
533	11.09730446
534	11.09691607
535	11.09654257
536	11.0963081
537	11.0959437
538	11.0955602
539	11.09507016
540	11.09453103
541	11.09381688
542	11.09353235
543	11.09322748
544	11.09254755
545	11.09207353
546	11.09173992
547	11.0913708
548	11.0908309
549	11.0905376
550	11.0901383
551	11.08977719
552	11.08959491
553	11.08932728
554	11.08881623
555	11.08851533
556	11.08812369
557	11.08775535
558	11.08739294
559	11.08687454
560	11.08639205
561	11.08576443
562	11.08546115
563	11.085207
564	11.08489737
565	11.08466496
566	11.08440213
567	11.08411906
568	11.08382719
569	11.08366032
570	11.08329208
571	11.08279606
572	11.08243329
573	11.08215814
574	11.08191869
575	11.08151242
576	11.08137665
577	11.0811277
578	11.0805335
579	11.08021615
580	11.07992534
581	11.07968404
582	11.07935616
583	11.07905259
584	11.07879388
585	11.07857672
586	11.07828863
587	11.07798578
588	11.07783791
589	11.07762457
590	11.07742497
591	11.07719795
592	11.07645536
593	11.07612005
594	11.07590105
595	11.07565551
596	11.07538482
597	11.07497107
598	11.07439854
599	11.07414045
600	11.07356347
601	11.07339684
602	11.07296828
603	11.07243252
604	11.07195248
605	11.07161974
606	11.07138775
607	11.07108453
608	11.07065556
609	11.07020992
610	11.06995244
611	11.06964855
612	11.0694629
613	11.06918502
614	11.06872809
615	11.06847585
616	11.06823684
617	11.06795326
618	11.0675353
619	11.06708299
620	11.06677561
621	11.06638759
622	11.06602412
623	11.06576569
624	11.06540217
625	11.06522248
626	11.06489774
627	11.06466618
628	11.06435541
629	11.06384961
630	11.06356054
631	11.06341246
632	11.06299593
633	11.06276715
634	11.06229645
635	11.06203687
636	11.06183739
637	11.06133891
638	11.06093852
639	11.06059526
640	11.06030285
641	11.06013663
642	11.05960023
643	11.0594384
644	11.05893073
645	11.05860228
646	11.05833801
647	11.05798692
648	11.05770914
649	11.0573629
650	11.05708731
651	11.0568185
652	11.0565853
653	11.05630851
654	11.05612172
655	11.05565959
656	11.05532679
657	11.05492786
658	11.05469789
659	11.05454457
660	11.05433934
661	11.05396456
662	11.0537824
663	11.05362767
664	11.05345275
665	11.05284494
666	11.05271909
667	11.05252496
668	11.05225959
669	11.05196839
670	11.05168937
671	11.05143272
672	11.05118119
673	11.05080694
674	11.05039362
675	11.05019445
676	11.04985074
677	11.04950643
678	11.04934039
679	11.04922607
680	11.04896792
681	11.04872441
682	11.04847615
683	11.04826723
684	11.04812151
685	11.0479358
686	11.04783798
687	11.04767984
688	11.0473321
689	11.04689487
690	11.0463263
691	11.04619888
692	11.04605156
693	11.04569714
694	11.04550587
695	11.04514966
696	11.04495661
697	11.04470837
698	11.04447175
699	11.04423824
700	11.04382441
701	11.04366003
702	11.04312372
703	11.04287838
704	11.04246958
705	11.04229736
706	11.0419136
707	11.04169604
708	11.04133785
709	11.04104861
710	11.04089686
711	11.04060716
712	11.04024615
713	11.04006871
714	11.03994076
715	11.03967425
716	11.03935981
717	11.03911109
718	11.0388741
719	11.03863034
720	11.03826633
721	11.03803494
722	11.03783889
723	11.03761436
724	11.03735844
725	11.03706553
726	11.03682813
727	11.03663212
728	11.03645762
729	11.03629294
730	11.0360135
731	11.03578691
732	11.03557386
733	11.03539147
734	11.03502984
735	11.03480149
736	11.03462809
737	11.0343738
738	11.03405798
739	11.03372433
740	11.03359448
741	11.03332448
742	11.0332008
743	11.03298498
744	11.03281062
745	11.03246868
746	11.0323441
747	11.03223867
748	11.03204649
749	11.03181805
750	11.031611
751	11.03139211
752	11.03128579
753	11.03111677
754	11.03094919
755	11.03072822
756	11.0306025
757	11.03036028
758	11.03005005
759	11.02988262
760	11.0297287
761	11.029533
762	11.02945151
763	11.02924944
764	11.02904068
765	11.02884942
766	11.0286279
767	11.0283918
768	11.02824433
769	11.02805081
770	11.02792908
771	11.027707
772	11.0276029
773	11.02744076
774	11.02723835
775	11.02710624
776	11.02689973
777	11.02661332
778	11.02645628
779	11.02632577
780	11.0260757
781	11.0258607
782	11.0255891
783	11.02536978
784	11.02525975
785	11.02505935
786	11.02479131
787	11.02462314
788	11.02442043
789	11.02422377
790	11.02411206
791	11.0239083
792	11.0237355
793	11.02354705
794	11.02335108
795	11.02317166
796	11.02292303
797	11.02275503
798	11.02266568
799	11.02253095
800	11.02233965
801	11.02214553
802	11.02200366
803	11.02185024
804	11.0216552
805	11.02137024
806	11.02118802
807	11.02100772
808	11.02082574
809	11.02074874
810	11.020628
811	11.02045466
812	11.02029059
813	11.0201211
814	11.01990896
815	11.01984285
816	11.01965135
817	11.01954744
818	11.019446
819	11.01929268
820	11.01919087
821	11.01900484
822	11.01889307
823	11.01869095
824	11.01856791
825	11.01841422
826	11.01831812
827	11.01812549
828	11.0179981
829	11.01770944
830	11.01756719
831	11.01741728
832	11.01727965
833	11.0171687
834	11.01697545
835	11.01680591
836	11.01664042
837	11.01633974
838	11.0162089
839	11.01602388
840	11.0158912
841	11.01571918
842	11.01552569
843	11.01525201
844	11.01518204
845	11.01505006
846	11.01494314
847	11.01472098
848	11.01459833
849	11.01442787
850	11.01427296
851	11.01412768
852	11.0139903
853	11.01381251
854	11.01370115
855	11.01351378
856	11.01338391
857	11.01314259
858	11.01298906
859	11.01279671
860	11.01270588
861	11.01260287
862	11.0123892
863	11.01222915
864	11.01206167
865	11.01193888
866	11.01179198
867	11.01159619
868	11.01147691
869	11.01134266
870	11.01114692
871	11.01083792
872	11.01072849
873	11.01062084
874	11.01049513
875	11.01019923
876	11.01009769
877	11.0100287
878	11.00983817
879	11.00971834
880	11.0095251
881	11.00934491
882	11.00923332
883	11.00916562
884	11.008974
885	11.00881404
886	11.00853776
887	11.00840667
888	11.00822462
889	11.00808599
890	11.00795517
891	11.00778795
892	11.00764867
893	11.00751358
894	11.0073972
895	11.00729003
896	11.00722084
897	11.00714725
898	11.00707421
899	11.00702389
900	11.00686254
901	11.00672701
902	11.00664679
903	11.00653043
904	11.00639256
905	11.00629794
906	11.00618468
907	11.00603125
908	11.00587281
909	11.00575431
910	11.00557643
911	11.00541054
912	11.00529792
913	11.00518492
914	11.00510424
915	11.0049603
916	11.0048718
917	11.00466304
918	11.00455382
919	11.00447974
920	11.00436619
921	11.00430447
922	11.00422016
923	11.00402403
924	11.00390083
925	11.00378327
926	11.00362001
927	11.00354189
928	11.00344858
929	11.00334631
930	11.00323605
931	11.00309558
932	11.00292623
933	11.0028435
934	11.0026569
935	11.00258527
936	11.00250465
937	11.00241062
938	11.0023068
939	11.00219573
940	11.00205063
941	11.0018901
942	11.00183749
943	11.00170493
944	11.00155581
945	11.00137241
946	11.00120375
947	11.0011112
948	11.00097057
949	11.00089262
950	11.00079726
951	11.00065343
952	11.00054772
953	11.00043718
954	11.00019034
955	11.00006506
956	10.99992173
957	10.99982742
958	10.99972614
959	10.9996369
960	10.99953826
961	10.9994658
962	10.99923201
963	10.99905373
964	10.99887075
965	10.9987693
966	10.99859699
967	10.99846755
968	10.99833775
969	10.99821401
970	10.99802989
971	10.99786066
972	10.99772559
973	10.99762875
974	10.99754728
975	10.99743942
976	10.99732088
977	10.99717816
978	10.99711306
979	10.99702954
980	10.99697924
981	10.9968614
982	10.9967255
983	10.99651449
984	10.99614303
985	10.99607744
986	10.99602854
987	10.99592265
988	10.99578487
989	10.99572252
990	10.99548781
991	10.99541919
992	10.99536941
993	10.99529539
994	10.99517617
995	10.99507783
996	10.99492789
997	10.99481376
998	10.99472754
999	10.99461149
